gebid,building_type,scenario_name,scenario_category,enob_category,hvac_system_type,hvac_subsystem_type,nfa,bac,hvac_rsl,envbpot,endenergy_norm_diff,co2_norm_heating_dhw_diff,penrt_norm_diff,pet_norm_diff,pert_norm_diff,lca_gwp_norm_a2,lca_penrt_norm,lca_pert_norm,lcc_norm,total_pv_potential_kwh,investment_costs_total,investment_costs_norm,operation_costs_norm_diff,endenergy_total_diff,penrt_total_diff,pet_total_diff,co2_total_heating_dhw_diff,operation_costs_total_diff
B001,workshop,EGB55,construction_only,EGB55,,,7218.8,1979-1995,,Negligible,109.75,37.78,320.01,323.61,15.43,30.83,288.99,44.5,231.73,779825.0,3119243.0,432.1,15.93,792238.0,2310084.0,2336068.0,272724.0,114998.0
B001,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,7218.8,1979-1995,11.6,Negligible,29.89,11.29,62.81,73.41,6.05,2.79,23.57,50.22,33.31,779825.0,1011070.0,140.06,10.25,215750.0,453384.0,529956.0,81509.0,74015.0
B001,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,7218.8,1979-1995,11.6,Negligible,81.45,18.69,147.96,204.27,17.79,24.45,383.02,8.31,355.42,779825.0,1599534.0,221.58,4.65,587988.0,1068088.0,1474583.0,134945.0,33552.0
B002,office,EGB55,construction_only,EGB55,,,4274.4,ab 2010,,Negligible,102.56,29.56,257.52,368.62,15.62,57.05,128.59,39.79,162.75,693971.0,812650.0,190.12,13.15,438392.0,1100749.0,1575642.0,126357.0,56222.0
B002,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4274.4,ab 2010,0.9,Negligible,44.15,13.16,116.87,142.2,9.51,4.71,64.03,27.64,30.12,693971.0,177835.0,41.6,15.5,188715.0,499543.0,607812.0,56237.0,66259.0
B002,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4274.4,ab 2010,0.9,Negligible,55.26,13.27,167.09,180.12,5.88,77.3,854.86,82.12,256.49,693971.0,920568.0,215.37,3.48,236198.0,714195.0,769899.0,56707.0,14889.0
B003,library,EGB55,construction_only,EGB55,,,4597.7,ab 2010,,Negligible,82.95,21.75,177.11,187.53,21.17,46.35,529.06,34.42,325.5,747820.0,529276.0,115.12,6.27,381355.0,814302.0,862203.0,99988.0,28822.0
B003,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4597.7,ab 2010,8.8,Negligible,9.92,3.7,26.98,28.61,1.83,17.71,54.42,56.4,44.18,747820.0,334020.0,72.65,8.55,45589.0,124042.0,131532.0,17024.0,39292.0
B003,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4597.7,ab 2010,8.8,Negligible,121.79,25.6,378.36,268.94,28.08,74.46,192.15,42.35,349.8,747820.0,574007.0,124.85,10.24,559929.0,1739580.0,1236483.0,117704.0,47086.0
B004,workshop,EGB55,construction_only,EGB55,,,4298.8,1949-1978,,Low,36.57,7.89,83.54,135.92,7.12,35.89,302.65,86.07,208.9,413667.0,2958611.0,688.24,8.49,157201.0,359123.0,584315.0,33937.0,36500.0
B004,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4298.8,1949-1978,6.0,Low,40.86,13.43,106.77,117.79,10.45,9.41,112.28,13.63,31.5,413667.0,396961.0,92.34,15.24,175657.0,458977.0,506356.0,57713.0,65512.0
B004,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4298.8,1949-1978,6.0,Low,56.85,17.92,159.4,182.34,15.59,35.28,406.59,24.64,59.27,413667.0,1125891.0,261.91,14.69,244385.0,685235.0,783838.0,77053.0,63148.0
B005,library,EGB55,construction_only,EGB55,,,1254.3,ab 2010,,Negligible,93.16,34.68,228.44,298.57,19.29,23.08,130.73,41.74,330.33,194602.0,738940.0,589.13,11.81,116846.0,286526.0,374486.0,43498.0,14819.0
B005,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1254.3,ab 2010,3.2,Negligible,41.53,14.14,125.8,126.15,10.93,2.84,23.03,9.66,22.64,194602.0,75042.0,59.83,3.41,52096.0,157786.0,158229.0,17734.0,4272.0
B005,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1254.3,ab 2010,3.2,Negligible,85.27,25.42,173.3,280.07,7.18,33.47,849.44,52.15,348.4,194602.0,713735.0,569.04,9.97,106950.0,217368.0,351289.0,31880.0,12501.0
B006,community_center,EGB55,construction_only,EGB55,,,4765.4,1919-1948,,Very high,110.46,21.0,251.19,299.2,11.33,59.38,733.92,33.73,367.87,897164.0,2755717.0,578.28,2.5,526362.0,1197013.0,1425813.0,100084.0,11921.0
B006,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4765.4,1919-1948,21.5,Very high,40.3,8.85,104.92,129.86,8.14,3.73,86.12,59.82,51.19,897164.0,602449.0,126.42,5.57,192069.0,499973.0,618845.0,42151.0,26549.0
B006,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4765.4,1919-1948,21.5,Very high,102.81,36.87,208.31,230.58,21.61,25.6,542.24,85.47,184.14,897164.0,1379176.0,289.41,7.58,489953.0,992702.0,1098829.0,175692.0,36102.0
B007,workshop,EGB55,construction_only,EGB55,,,1168.4,1979-1995,,Negligible,105.17,26.75,268.75,267.56,13.62,35.05,455.09,14.69,326.04,193936.0,522759.0,447.43,5.15,122877.0,313990.0,312609.0,31253.0,6011.0
B007,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1168.4,1979-1995,12.6,Negligible,35.53,7.33,70.57,85.59,3.42,18.32,46.92,33.13,51.64,193936.0,121965.0,104.39,3.4,41508.0,82456.0,99997.0,8560.0,3973.0
B007,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1168.4,1979-1995,12.6,Negligible,79.21,20.2,221.4,186.52,17.86,71.67,757.13,63.28,180.88,193936.0,186126.0,159.31,8.54,92542.0,258675.0,217925.0,23605.0,9979.0
B008,office,EGB55,construction_only,EGB55,,,1850.4,ab 2010,,Negligible,103.31,21.19,212.61,359.44,21.58,67.12,897.35,85.01,360.35,269746.0,1047808.0,566.27,6.62,191161.0,393406.0,665100.0,39216.0,12255.0
B008,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1850.4,ab 2010,5.7,Negligible,12.38,4.11,35.41,41.52,2.09,8.81,61.98,10.73,52.22,269746.0,175941.0,95.08,6.51,22904.0,65522.0,76820.0,7602.0,12040.0
B008,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1850.4,ab 2010,5.7,Negligible,94.02,24.1,278.58,345.17,14.81,19.3,703.51,89.42,96.24,269746.0,1122705.0,606.75,13.29,173975.0,515469.0,638685.0,44588.0,24596.0
B009,sports_hall,EGB55,construction_only,EGB55,,,1337.7,ab 2010,,Negligible,38.16,10.27,108.77,95.58,10.03,25.81,710.67,13.54,219.89,105252.0,159902.0,119.53,5.36,51041.0,145496.0,127853.0,13743.0,7176.0
B009,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1337.7,ab 2010,0.1,Negligible,33.79,9.16,63.51,128.15,8.71,18.49,44.66,40.32,21.36,105252.0,60181.0,44.99,1.01,45201.0,84954.0,171427.0,12250.0,1354.0
B009,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1337.7,ab 2010,0.1,Negligible,79.35,17.08,238.42,236.05,9.26,62.93,298.01,51.21,147.52,105252.0,630258.0,471.15,10.24,106147.0,318936.0,315765.0,22849.0,13701.0
B010,workshop,EGB55,construction_only,EGB55,,,3406.6,1949-1978,,Medium,34.6,7.01,109.74,128.26,4.36,87.53,250.41,49.53,229.01,680467.0,2210788.0,648.97,1.13,117880.0,373849.0,436927.0,23887.0,3843.0
B010,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,3406.6,1949-1978,18.5,Medium,29.0,5.6,61.8,85.38,7.43,15.7,102.9,70.41,45.39,680467.0,449545.0,131.96,11.06,98788.0,210533.0,290841.0,19094.0,37687.0
B010,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,3406.6,1949-1978,18.5,Medium,98.51,21.03,281.65,242.85,26.0,56.92,350.14,84.8,98.95,680467.0,1601036.0,469.98,1.92,335574.0,959453.0,827305.0,71655.0,6538.0
B011,office,EGB55,construction_only,EGB55,,,4772.9,ab 2010,,Negligible,98.12,36.32,236.17,281.04,21.43,76.47,354.76,62.91,119.43,898669.0,2057197.0,431.02,12.42,468332.0,1127222.0,1341369.0,173336.0,59289.0
B011,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4772.9,ab 2010,7.9,Negligible,34.11,6.25,107.17,100.63,5.52,14.97,72.33,67.93,14.24,898669.0,465521.0,97.54,9.15,162820.0,511529.0,480297.0,29810.0,43675.0
B011,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4772.9,ab 2010,7.9,Negligible,126.89,34.33,340.52,390.99,12.03,56.64,262.2,24.04,373.9,898669.0,1200427.0,251.51,7.54,605650.0,1625264.0,1866127.0,163867.0,35995.0
B012,sports_hall,EGB55,construction_only,EGB55,,,5775.6,ab 2010,,Negligible,71.1,24.44,195.49,229.44,11.46,53.78,404.79,69.03,184.56,1092323.0,2194569.0,379.97,12.21,410663.0,1129046.0,1325177.0,141179.0,70518.0
B012,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,5775.6,ab 2010,2.1,Negligible,18.52,6.4,43.22,65.78,4.39,10.05,91.29,10.82,29.49,1092323.0,769541.0,133.24,9.48,106972.0,249602.0,379917.0,36944.0,54769.0
B012,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,5775.6,ab 2010,2.1,Negligible,94.23,29.73,246.6,270.72,11.0,32.0,320.2,43.32,419.64,1092323.0,2069170.0,358.26,7.43,544223.0,1424251.0,1563556.0,171721.0,42938.0
B013,workshop,EGB55,construction_only,EGB55,,,4818.9,1949-1978,,High,43.58,12.15,120.28,101.0,11.04,33.66,485.51,24.24,199.69,579911.0,2876032.0,596.83,13.33,210025.0,579618.0,486684.0,58548.0,64223.0
B013,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4818.9,1949-1978,14.4,High,35.72,9.7,82.96,109.77,4.3,7.7,90.65,71.18,12.84,579911.0,568331.0,117.94,13.17,172112.0,399765.0,528973.0,46748.0,63465.0
B013,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4818.9,1949-1978,14.4,High,64.88,20.54,139.14,209.51,10.08,60.25,291.67,47.08,239.38,579911.0,2652291.0,550.4,3.65,312628.0,670472.0,1009593.0,98973.0,17584.0
B014,workshop,EGB55,construction_only,EGB55,,,2597.4,vor 1919,,High,21.41,7.16,59.81,53.8,2.3,34.36,709.97,48.02,390.81,262368.0,1282699.0,493.83,10.12,55612.0,155346.0,139748.0,18595.0,26297.0
B014,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2597.4,vor 1919,18.2,High,35.01,8.71,75.62,101.54,6.23,4.55,64.13,60.47,16.79,262368.0,120949.0,46.56,3.19,90938.0,196408.0,263737.0,22622.0,8293.0
B014,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2597.4,vor 1919,18.2,High,59.3,10.98,122.0,146.13,10.37,9.24,455.7,21.36,142.46,262368.0,1718950.0,661.78,3.35,154039.0,316894.0,379563.0,28522.0,8709.0
B015,community_center,EGB55,construction_only,EGB55,,,3488.0,1979-1995,,Low,115.09,36.1,215.14,375.35,23.03,71.32,255.34,86.18,376.75,299081.0,588122.0,168.61,5.39,401443.0,750387.0,1309223.0,125918.0,18785.0
